Date,Type,Name,Start,End,Duration
17/03/16,move,walking,2016-03-17T12:30:11Z,2016-03-17T12:34:48Z,277
17/03/16,place,Cervejaria Munich,2016-03-17T12:34:48Z,2016-03-17T13:19:16Z,2668
17/03/16,move,walking,2016-03-17T13:19:16Z,2016-03-17T13:23:35Z,259
17/03/16,move,transport,2016-03-17T13:23:35Z,2016-03-17T13:27:49Z,254
17/03/16,place,IPN,2016-03-17T13:27:49Z,2016-03-17T17:06:56Z,13147
17/03/16,move,transport,2016-03-17T17:06:56Z,2016-03-17T17:18:07Z,671
17/03/16,place,HOME,2016-03-17T17:18:08Z,2016-03-17T17:29:55Z,707
17/03/16,move,transport,2016-03-17T17:29:55Z,2016-03-17T17:54:02Z,1447
17/03/16,place,Forum Coimbra,2016-03-17T17:54:02Z,2016-03-17T19:02:33Z,4111
17/03/16,move,transport,2016-03-17T19:02:33Z,2016-03-17T19:25:14Z,1361
17/03/16,place,HOME,2016-03-17T19:25:14Z,2016-03-18T00:00:00Z,16486
18/03/16,place,HOME,2016-03-18T00:00:00Z,2016-03-18T08:15:37Z,29737
18/03/16,move,transport,2016-03-18T08:15:37Z,2016-03-18T08:29:52Z,855
18/03/16,move,walking,2016-03-18T08:29:52Z,2016-03-18T08:46:31Z,999
18/03/16,place,DEI,2016-03-18T08:46:32Z,2016-03-18T12:59:03Z,15151
18/03/16,move,walking,2016-03-18T12:59:03Z,2016-03-18T13:11:50Z,767
18/03/16,place,Sol do Mondego,2016-03-18T13:11:50Z,2016-03-18T13:21:56Z,606
18/03/16,move,walking,2016-03-18T13:21:56Z,2016-03-18T13:35:29Z,813
18/03/16,place,IPN TecBis,2016-03-18T13:35:29Z,2016-03-18T14:56:19Z,4850
18/03/16,move,walking,2016-03-18T14:56:19Z,2016-03-18T15:08:34Z,735
18/03/16,place,DEI,2016-03-18T15:08:34Z,2016-03-18T16:11:37Z,3783
18/03/16,move,walking,2016-03-18T16:11:37Z,2016-03-18T16:27:27Z,950
18/03/16,move,transport,2016-03-18T16:27:27Z,2016-03-18T16:37:45Z,618
18/03/16,place,HOME,2016-03-18T16:37:45Z,2016-03-18T18:14:45Z,5820
18/03/16,move,walking,2016-03-18T18:14:45Z,2016-03-18T18:35:37Z,1252
18/03/16,place,British Council,2016-03-18T18:35:38Z,2016-03-18T19:13:15Z,2257
18/03/16,move,walking,2016-03-18T19:13:15Z,2016-03-18T19:38:53Z,1538
18/03/16,place,HOME,2016-03-18T19:38:54Z,2016-03-18T20:05:21Z,1587
18/03/16,move,transport,2016-03-18T20:05:21Z,2016-03-18T20:10:29Z,308
18/03/16,place,Brunn's Coffee & Diner,2016-03-18T20:10:30Z,2016-03-18T21:36:16Z,5146
18/03/16,move,transport,2016-03-18T21:36:16Z,2016-03-18T21:41:10Z,294
18/03/16,place,HOME,2016-03-18T21:41:10Z,2016-03-19T00:00:00Z,8330
19/03/16,place,HOME,2016-03-19T00:00:00Z,2016-03-19T13:04:17Z,47057
19/03/16,move,transport,2016-03-19T13:04:17Z,2016-03-19T13:11:25Z,428
19/03/16,move,walking,2016-03-19T13:11:26Z,2016-03-19T13:14:57Z,211
19/03/16,place,Jumbo,2016-03-19T13:14:57Z,2016-03-19T15:26:27Z,7890
19/03/16,move,transport,2016-03-19T15:26:27Z,2016-03-19T15:32:13Z,346
19/03/16,place,HOME,2016-03-19T15:32:13Z,2016-03-19T17:47:08Z,8095
19/03/16,move,walking,2016-03-19T17:47:08Z,2016-03-19T17:56:20Z,552
19/03/16,place,Atrium Solum,2016-03-19T17:56:20Z,2016-03-19T18:32:38Z,2178
19/03/16,move,walking,2016-03-19T18:32:38Z,2016-03-19T18:43:40Z,662
19/03/16,place,HOME,2016-03-19T18:43:40Z,2016-03-20T00:00:00Z,18980
20/03/16,place,HOME,2016-03-20T00:00:00Z,2016-03-20T11:54:23Z,42863
20/03/16,move,transport,2016-03-20T11:54:23Z,2016-03-20T12:00:30Z,367
20/03/16,move,walking,2016-03-20T12:00:30Z,2016-03-20T12:03:03Z,153
20/03/16,place,Jumbo,2016-03-20T12:03:03Z,2016-03-20T13:04:14Z,3671
20/03/16,move,transport,2016-03-20T13:04:14Z,2016-03-20T13:11:28Z,434
20/03/16,place,HOME,2016-03-20T13:11:29Z,2016-03-20T17:21:10Z,14981
20/03/16,move,walking,2016-03-20T17:21:10Z,2016-03-20T17:23:31Z,141
20/03/16,move,transport,2016-03-20T17:23:32Z,2016-03-20T17:29:24Z,352
20/03/16,place,Leroy Merlin,2016-03-20T17:29:24Z,2016-03-20T18:30:44Z,3680
20/03/16,move,transport,2016-03-20T18:30:44Z,2016-03-20T18:37:24Z,400
20/03/16,place,HOME,2016-03-20T18:37:24Z,2016-03-21T00:00:00Z,19356
21/03/16,place,HOME,2016-03-21T00:00:00Z,2016-03-21T15:30:54Z,55854
21/03/16,move,transport,2016-03-21T15:30:54Z,2016-03-21T15:49:47Z,1133
21/03/16,place,Place in Portugal,2016-03-21T15:49:48Z,2016-03-21T15:59:46Z,598
21/03/16,move,transport,2016-03-21T15:59:46Z,2016-03-21T16:20:42Z,1256
21/03/16,place,HOME,2016-03-21T16:20:42Z,2016-03-22T00:00:00Z,27558
22/03/16,place,HOME,2016-03-22T00:00:00Z,2016-03-22T13:36:44Z,49004
22/03/16,move,transport,2016-03-22T13:36:44Z,2016-03-22T14:24:48Z,2884
22/03/16,place,Place in Area de Serviço de Antuã,2016-03-22T14:24:48Z,2016-03-22T14:45:28Z,1240
22/03/16,move,transport,2016-03-22T14:45:28Z,2016-03-22T15:47:50Z,3742
22/03/16,place,Place in Praça Dom João I,2016-03-22T15:47:50Z,2016-03-22T15:58:58Z,668
22/03/16,move,walking,2016-03-22T15:58:58Z,2016-03-22T16:11:11Z,733
22/03/16,move,walking,2016-03-22T16:11:11Z,2016-03-22T16:19:03Z,472
22/03/16,place,Place in Portugal,2016-03-22T16:19:03Z,2016-03-22T16:36:25Z,1042
22/03/16,move,walking,2016-03-22T16:36:25Z,2016-03-22T16:39:28Z,183
22/03/16,place,Place in Portugal,2016-03-22T16:39:29Z,2016-03-22T16:41:08Z,99
22/03/16,move,walking,2016-03-22T16:41:08Z,2016-03-22T16:47:21Z,373
22/03/16,place,Place in Largo do Terreiro,2016-03-22T16:47:21Z,2016-03-22T17:08:28Z,1267
22/03/16,move,walking,2016-03-22T17:08:28Z,2016-03-22T17:12:04Z,216
22/03/16,place,Place in Portugal,2016-03-22T17:12:04Z,2016-03-22T17:14:26Z,142
22/03/16,move,walking,2016-03-22T17:14:26Z,2016-03-22T17:27:07Z,761
22/03/16,place,Place in Praça da Liberdade,2016-03-22T17:27:08Z,2016-03-22T18:01:47Z,2079
22/03/16,move,walking,2016-03-22T18:01:47Z,2016-03-22T18:08:28Z,401
22/03/16,place,Place in Portugal,2016-03-22T18:08:29Z,2016-03-22T18:15:23Z,414
22/03/16,move,transport,2016-03-22T18:15:23Z,2016-03-22T18:45:32Z,1809
22/03/16,place,Place in NorteShopping & Continente,2016-03-22T18:45:33Z,2016-03-22T19:29:55Z,2662
22/03/16,move,walking,2016-03-22T19:29:55Z,2016-03-22T19:45:58Z,963
22/03/16,place,Place in NorteShopping & Continente,2016-03-22T19:45:59Z,2016-03-22T21:34:00Z,6481
22/03/16,move,transport,2016-03-22T21:34:00Z,2016-03-22T22:46:44Z,4364
22/03/16,place,HOME,2016-03-22T22:46:44Z,2016-03-23T00:00:00Z,4396
23/03/16,place,HOME,2016-03-23T00:00:00Z,2016-03-23T13:14:56Z,47696
23/03/16,move,transport,2016-03-23T13:14:56Z,2016-03-23T13:22:08Z,432
23/03/16,move,walking,2016-03-23T13:22:09Z,2016-03-23T13:25:49Z,220
23/03/16,place,Café/Cervejaria Koala,2016-03-23T13:25:50Z,2016-03-23T14:29:12Z,3802
23/03/16,move,transport,2016-03-23T14:29:12Z,2016-03-23T14:35:27Z,375
23/03/16,place,HOME,2016-03-23T14:35:28Z,2016-03-23T14:45:08Z,580
23/03/16,move,walking,2016-03-23T14:45:08Z,2016-03-23T14:46:26Z,78
23/03/16,move,transport,2016-03-23T14:46:27Z,2016-03-23T15:03:34Z,1027
23/03/16,move,walking,2016-03-23T15:03:34Z,2016-03-23T15:06:11Z,157
23/03/16,place,Place in Portugal,2016-03-23T15:06:11Z,2016-03-23T15:23:10Z,1019
23/03/16,move,transport,2016-03-23T15:23:10Z,2016-03-23T15:40:53Z,1063
23/03/16,place,CTT - Vale das Flores,2016-03-23T15:40:54Z,2016-03-23T16:03:55Z,1381
23/03/16,move,transport,2016-03-23T16:03:55Z,2016-03-23T16:14:25Z,630
23/03/16,place,Forum Coimbra,2016-03-23T16:14:25Z,2016-03-23T17:47:17Z,5572
23/03/16,move,transport,2016-03-23T17:47:17Z,2016-03-23T17:57:58Z,641
23/03/16,place,HOME,2016-03-23T17:58:14Z,2016-03-24T00:00:00Z,21706
24/03/16,place,HOME,2016-03-24T00:00:00Z,2016-03-24T12:16:27Z,44187
24/03/16,move,transport,2016-03-24T12:16:27Z,2016-03-24T12:24:07Z,460
24/03/16,place,Coimbra Shopping,2016-03-24T12:24:08Z,2016-03-24T12:37:08Z,780
24/03/16,move,transport,2016-03-24T12:37:08Z,2016-03-24T12:51:07Z,839
24/03/16,place,HOME,2016-03-24T12:51:07Z,2016-03-24T16:13:54Z,12167
24/03/16,move,walking,2016-03-24T16:13:54Z,2016-03-24T16:22:03Z,489
24/03/16,place,Place in Portugal,2016-03-24T16:22:03Z,2016-03-24T16:26:17Z,254
24/03/16,move,transport,2016-03-24T16:26:17Z,2016-03-24T16:47:43Z,1286
24/03/16,place,Place in Portugal,2016-03-24T16:47:44Z,2016-03-24T16:56:55Z,551
24/03/16,move,transport,2016-03-24T16:56:55Z,2016-03-24T17:19:05Z,1330
24/03/16,place,IberPlantas,2016-03-24T17:19:06Z,2016-03-24T18:02:34Z,2608
24/03/16,move,transport,2016-03-24T18:02:34Z,2016-03-24T18:21:02Z,1108
24/03/16,place,Dolce Vita Coimbra,2016-03-24T18:21:02Z,2016-03-24T19:03:07Z,2525
24/03/16,move,transport,2016-03-24T19:03:07Z,2016-03-24T19:09:40Z,393
24/03/16,place,Leroy Merlin,2016-03-24T19:09:41Z,2016-03-24T19:29:15Z,1174
24/03/16,move,transport,2016-03-24T19:29:15Z,2016-03-24T19:36:15Z,420
24/03/16,place,HOME,2016-03-24T19:36:15Z,2016-03-25T00:00:00Z,15825
25/03/16,place,HOME,2016-03-25T00:00:00Z,2016-03-25T08:33:59Z,30839
25/03/16,move,transport,2016-03-25T08:33:59Z,2016-03-25T09:14:59Z,2460
25/03/16,move,walking,2016-03-25T09:14:59Z,2016-03-25T09:18:49Z,230
25/03/16,place,Place in Complexo Desportivo da Tocha,2016-03-25T09:18:50Z,2016-03-25T09:27:29Z,519
25/03/16,move,walking,2016-03-25T09:27:29Z,2016-03-25T09:30:44Z,195
25/03/16,place,Place in Portugal,2016-03-25T09:30:45Z,2016-03-25T10:35:51Z,3906
25/03/16,move,transport,2016-03-25T10:35:51Z,2016-03-25T11:13:26Z,2255
25/03/16,place,HOME,2016-03-25T11:13:26Z,2016-03-25T11:38:03Z,1477
25/03/16,move,transport,2016-03-25T11:38:03Z,2016-03-25T12:18:34Z,2431
25/03/16,move,walking,2016-03-25T12:18:34Z,2016-03-25T12:25:34Z,420
25/03/16,move,transport,2016-03-25T12:25:34Z,2016-03-25T12:39:33Z,839
25/03/16,place,Place in Portugal,2016-03-25T12:39:34Z,2016-03-25T14:23:17Z,6223
25/03/16,move,transport,2016-03-25T14:23:17Z,2016-03-25T14:30:58Z,461
25/03/16,place,Place in Complexo Desportivo da Tocha,2016-03-25T14:30:58Z,2016-03-25T14:54:17Z,1399
